init data done
京,0.55914 |  京,0.55914 方,0.07137
业,0.76373 |  业,0.76373 门,0.08542
，,0.13562 |  。,0.34739 ，,0.13562
成,0.01568 |  并,0.09222 以,0.03308
立,0.12191 |  为,0.76099 立,0.12191
了,0.48199 |  了,0.48199 “,0.05034
当,0.00246 |  一,0.07214 中,0.07134
时,0.65440 |  时,0.65440 地,0.19205
中,0.08156 |  的,0.21713 中,0.08156
国,0.89569 |  国,0.89569 华,0.03938
国,0.03406 |  的,0.06214 科,0.05834
内,0.07154 |  家,0.75709 内,0.07154
航,0.04733 |  的,0.11606 外,0.06748
空,0.91235 |  空,0.91235 线,0.05374
高,0.00308 |  工,0.09569 公,0.09350
等,0.26036 |  速,0.29448 等,0.26036
院,0.05424 |  专,0.19584 学,0.12938
校,0.98274 |  校,0.98274 院,0.00230
惟,0.00000 |  。,0.28547 ，,0.12675
一,0.57464 |  一,0.57464 有,0.01602
的,0.17586 |  的,0.17586 学,0.06181
航,0.02210 |  学,0.05001 高,0.04067
空,0.94882 |  空,0.94882 天,0.01168
工,0.13732 |  工,0.13732 航,0.07529
程,0.91595 |  程,0.91595 业,0.07108
经,0.00107 |  学,0.22168 系,0.10019
济,0.85834 |  济,0.85834 验,0.06232
系,0.05488 |  学,0.27574 研,0.10050
。,0.33332 |  。,0.33332 ，,0.29511
这,0.00481 |  
,0.38722 1,0.23671
样,0.01563 |  一,0.14210 个,0.13365
就,0.00434 |  的,0.31098 ，,0.12809
开,0.01435 |  是,0.34468 在,0.05753
始,0.74555 |  始,0.74555 展,0.07857
有,0.01340 |  了,0.25525 在,0.03315
了,0.03116 |  一,0.06148 了,0.03116
不,0.00819 |  一,0.11514 大,0.03438
同,0.30085 |  少,0.51841 同,0.30085
于,0.00573 |  的,0.37754 程,0.08845
苏,0.00355 |  中,0.04568 1,0.04456
联,0.95634 |  联,0.95634 州,0.00582
模,0.00033 |  的,0.22562 国,0.02673
式,0.38204 |  式,0.38204 型,0.28463
而,0.00231 |  的,0.35379 。,0.06672
根,0.00036 |  成,0.05832 设,0.03399
据,0.84588 |  据,0.84588 本,0.09426
中,0.05306 |  的,0.06339 中,0.05306
国,0.78450 |  国,0.78450 央,0.04157
航,0.01687 |  的,0.11458 国,0.05098
空,0.90214 |  空,0.90214 天,0.02854
工,0.07975 |  工,0.07975 的,0.06097
业,0.16681 |  程,0.78991 业,0.16681
实,0.00594 |  的,0.26057 研,0.04651
际,0.10085 |  验,0.60651 际,0.10085
需,0.00524 |  上,0.24738 的,0.12061
要,0.63041 |  要,0.63041 求,0.36137
自,0.00217 |  的,0.26897 ，,0.07743
行,0.08417 |  由,0.28720 己,0.18691
设,0.07519 |  研,0.13239 设,0.07519
置,0.00746 |  计,0.95044 立,0.02387
的,0.62317 |  的,0.62317 。,0.02948
新,0.01267 |  航,0.06220 机,0.05567
专,0.00773 |  型,0.09126 技,0.08343
业,0.27755 |  业,0.27755 用,0.27755
，,0.08256 |  技,0.15896 。,0.11080
并,0.05438 |  并,0.05438 包,0.04297
成,0.01531 |  且,0.13060 在,0.06646
立,0.16768 |  为,0.70750 立,0.16768
了,0.45376 |  了,0.45376 “,0.04872
空,0.00918 |  中,0.08892 一,0.08342
气,0.06725 |  中,0.50199 军,0.22907
动,0.14033 |  动,0.14033 中,0.06054
力,0.97026 |  力,0.97026 物,0.01134
学,0.46963 |  学,0.46963 研,0.06381
、,0.03616 |  研,0.11381 院,0.09736
飞,0.01310 |  空,0.05170 航,0.04242
机,0.76860 |  机,0.76860 行,0.19718
结,0.00168 |  、,0.17010 和,0.04720
构,0.89979 |  构,0.89979 合,0.08829
力,0.00046 |  、,0.32225 和,0.09121
学,0.11879 |  、,0.30416 学,0.11879
及,0.03811 |  、,0.54300 和,0.08073
喷,0.00009 |  技,0.07187 工,0.03814
气,0.14495 |  射,0.77841 气,0.14495
发,0.01345 |  机,0.20532 技,0.10826
动,0.53417 |  动,0.53417 电,0.24055
机,0.99815 |  机,0.99815 技,0.00028
原,0.00021 |  。,0.27389 ，,0.10280
理,0.18101 |  子,0.25638 理,0.18101
3,0.00003 |  。,0.31843 ，,0.17518
个,0.32374 |  个,0.32374 0,0.14390
研,0.20527 |  研,0.20527 系,0.08477
究,0.98449 |  究,0.98449 发,0.00940
室,0.03242 |  所,0.33336 中,0.18743
。,0.48609 |  。,0.48609 ，,0.26739
 ,0.01685 |  
,0.38773 1,0.14120
1,0.11091 |  
,0.49709 1,0.11091
9,0.99059 |  9,0.99059 0,0.00366
5,0.24879 |  7,0.27263 6,0.25413
8,0.09626 |  0,0.16709 2,0.10982
年,0.99188 |  年,0.99188 -,0.00325
，,0.31432 |  ，,0.31432 1,0.14471
北,0.02077 |  中,0.13046 国,0.05056
航,0.00025 |  京,0.92103 方,0.02280
开,0.00638 |  空,0.05916 机,0.04428
展,0.01022 |  发,0.68243 始,0.19365
勤,0.00002 |  了,0.35022 工,0.03905
工,0.07548 |  务,0.43370 工,0.07548
俭,0.00255 |  程,0.13120 业,0.12620
学,0.15473 |  学,0.15473 ，,0.07151
，,0.17259 |  ，,0.17259 。,0.10700
提,0.00882 |  并,0.06048 1,0.04978
倡,0.02443 |  供,0.35911 高,0.27229
并,0.00165 |  了,0.13699 “,0.03844
实,0.00604 |  提,0.03155 且,0.03098
践,0.04706 |  现,0.62890 施,0.08448
教,0.00503 |  了,0.07562 中,0.02953
学,0.17657 |  育,0.56643 学,0.17657
与,0.02135 |  技,0.05263 。,0.05203
科,0.02472 |  技,0.14878 研,0.07396
研,0.20427 |  学,0.61792 研,0.20427
、,0.02253 |  。,0.12999 ，,0.07676
设,0.01383 |  研,0.05098 技,0.04506
计,0.86416 |  计,0.86416 备,0.07052
、,0.30221 |  、,0.30221 和,0.07508
生,0.03781 |  研,0.05604 技,0.03958
产,0.39458 |  产,0.39458 态,0.17186
的,0.01459 |  、,0.24092 技,0.09145
四,0.00101 |  技,0.06680 工,0.06297
结,0.00018 |  个,0.27831 大,0.18923
合,0.18207 |  合,0.18207 构,0.13658
，,0.03651 |  。,0.06011 ，,0.03651
开,0.00745 |  并,0.05141 以,0.05038
展,0.16983 |  发,0.52693 展,0.16983
了,0.16353 |  了,0.16353 工,0.05335
航,0.00349 |  一,0.05380 国,0.03340
空,0.91625 |  空,0.91625 天,0.02063
型,0.00042 |  工,0.16488 技,0.08359
号,0.01384 |  的,0.11164 机,0.05709
研,0.01116 |  。,0.15742 的,0.11942
制,0.09672 |  究,0.73592 发,0.14179
工,0.05045 |  的,0.16470 。,0.15279
作,0.42716 |  程,0.53724 作,0.42716
。,0.69147 |  。,0.69147 ，,0.16766
全,0.00208 |  
,0.32552 1,0.26845
校,0.02424 |  国,0.42923 部,0.09184
师,0.00325 |  学,0.04011 1,0.02718
生,0.55660 |  生,0.55660 资,0.11580
在,0.03963 |  在,0.03963 1,0.03773
1,0.17309 |  1,0.17309 2,0.05558
0,0.03242 |  9,0.90964 0,0.03242
0,0.22789 |  0,0.22789 年,0.18171
天,0.00548 |  多,0.21713 万,0.16366
内,0.06947 |  后,0.15002 之,0.07662
，,0.05433 |  ，,0.05433 的,0.02899
完,0.00649 |  学,0.02653 1,0.02631
成,0.96011 |  成,0.96011 工,0.01410
了,0.44145 |  了,0.44145 1,0.02594
周,0.00056 |  一,0.07294 1,0.06542
恩,0.12860 |  边,0.33072 恩,0.12860
来,0.99201 |  来,0.99201 达,0.00154
总,0.00768 |  的,0.15238 、,0.10616
理,0.16433 |  统,0.55666 理,0.16433
亲,0.00046 |  的,0.22602 、,0.04856
自,0.56739 |  自,0.56739 临,0.05401
批,0.00568 |  研,0.04513 创,0.02756
准,0.54502 |  准,0.54502 评,0.33986
的,0.22889 |  的,0.22889 。,0.08243
“,0.08628 |  “,0.08628 研,0.03067
北,0.01336 |  中,0.06201 国,0.02599
京,0.74331 |  京,0.74331 方,0.05510
一,0.01184 |  大,0.13190 工,0.03714
号,0.16493 |  号,0.16493 中,0.14845
”,0.42085 |  ”,0.42085 机,0.03190
轻,0.00009 |  。,0.11326 ，,0.08057
型,0.13453 |  工,0.27899 微,0.21336
旅,0.00216 |  航,0.11860 机,0.11452
客,0.28818 |  游,0.38405 客,0.28818
机,0.06819 |  。,0.11347 机,0.06819
的,0.03268 |  。,0.16543 ，,0.09339
研,0.06127 |  研,0.06127 计,0.04143
制,0.06488 |  究,0.80054 发,0.09055
，,0.23098 |  。,0.36179 ，,0.23098
同,0.00994 |  并,0.10536 1,0.03218
年,0.17256 |  时,0.76310 年,0.17256
9,0.06589 |  1,0.20743 2,0.06693
月,0.99890 |  月,0.99890 2,0.00033
2,0.14579 |  2,0.14579 1,0.14469
4,0.11133 |  1,0.12819 4,0.11133
日,0.99769 |  日,0.99769 号,0.00118
试,0.00591 |  ，,0.28486 开,0.03847
飞,0.44321 |  飞,0.44321 验,0.18762
成,0.02231 |  。,0.20162 ，,0.15306
功,0.62371 |  功,0.62371 立,0.14695
，,0.20361 |  。,0.39310 ，,0.20361
并,0.06613 |  并,0.06613 1,0.04284
进,0.02019 |  于,0.12557 在,0.07985
行,0.65074 |  行,0.65074 入,0.24152
了,0.53488 |  了,0.53488 第,0.02003
京,0.00060 |  一,0.07592 第,0.03466
沪,0.24134 |  都,0.29197 沪,0.24134
间,0.00030 |  高,0.21000 大,0.14870
2,0.00312 |  的,0.19742 运,0.06214
5,0.08952 |  0,0.33929 5,0.08952
0,0.09098 |  0,0.09098 次,0.06692
0,0.27262 |  0,0.27262 万,0.06877
公,0.04515 |  0,0.12437 多,0.11998
里,0.87424 |  里,0.87424 尺,0.06214
的,0.44655 |  的,0.44655 长,0.05757
航,0.03514 |  试,0.06766 空,0.03692
线,0.04936 |  空,0.63824 程,0.12966
试,0.01993 |  。,0.23656 ，,0.15909
飞,0.04198 |  验,0.88264 飞,0.04198
；,0.03160 |  。,0.47059 ，,0.18933
研,0.00220 |  1,0.16564 2,0.06428
制,0.10314 |  究,0.78271 制,0.10314
成,0.02188 |  了,0.07939 计,0.04875
功,0.74467 |  功,0.74467 果,0.17818
了,0.02429 |  的,0.12595 后,0.09570
中,0.01767 |  1,0.08369 2,0.04755
国,0.77493 |  国,0.77493 华,0.03266
第,0.03935 |  的,0.05694 航,0.05262
一,0.71870 |  一,0.71870 二,0.13750
枚,0.00664 |  次,0.26702 个,0.18356
探,0.00085 |  飞,0.05350 机,0.02122
空,0.00196 |  测,0.61576 戈,0.15151
火,0.00957 |  飞,0.17481 计,0.04750
箭,0.93331 |  箭,0.93331 炮,0.01851
—,0.00546 |  ，,0.22972 。,0.21093
—,0.80583 |  —,0.80583 “,0.01886
“,0.07434 |  “,0.07434 中,0.04564
北,0.02461 |  中,0.04340 1,0.03687
京,0.83789 |  京,0.83789 方,0.04753
二,0.00212 |  ”,0.16073 大,0.05972
号,0.43756 |  号,0.43756 次,0.05587
”,0.68254 |  ”,0.68254 机,0.03152
，,0.12695 |  。,0.19095 ，,0.12695
于,0.01915 |  并,0.09164 1,0.03740
同,0.00541 |  1,0.58465 2,0.24460
年,0.94745 |  年,0.94745 月,0.03373
9,0.10036 |  1,0.17343 9,0.10036
月,0.99997 |  月,0.99997 2,0.00001
2,0.19100 |  2,0.19100 1,0.13786
2,0.10388 |  4,0.11314 0,0.10741
日,0.99723 |  日,0.99723 号,0.00122
在,0.07185 |  开,0.09287 完,0.08911
东,0.01965 |  北,0.13709 南,0.07267
北,0.10312 |  京,0.67804 北,0.10312
白,0.00004 |  大,0.10745 发,0.06423
城,0.00169 |  云,0.11250 河,0.07060
子,0.00029 |  举,0.09944 市,0.09071
靶,0.00008 |  公,0.14341 开,0.04069
场,0.09945 |  场,0.09945 中,0.03859
发,0.02329 |  举,0.14146 进,0.08211
射,0.19923 |  现,0.27997 生,0.23523
试,0.00589 |  。,0.32887 ，,0.11997
验,0.50300 |  验,0.50300 飞,0.25212
成,0.00117 |  。,0.44079 ，,0.24944
功,0.78273 |  功,0.78273 果,0.09818
；,0.03163 |  。,0.53201 ，,0.23879
研,0.00113 |  1,0.16895 2,0.06078
制,0.17687 |  究,0.64568 制,0.17687
成,0.02372 |  了,0.06567 后,0.05181
功,0.84488 |  功,0.84488 果,0.11500
了,0.02460 |  后,0.17445 ，,0.11166
中,0.01443 |  1,0.08139 2,0.04575
国,0.75475 |  国,0.75475 华,0.03387
第,0.04096 |  的,0.05285 人,0.04220
一,0.65791 |  一,0.65791 二,0.16205
架,0.16602 |  次,0.35007 架,0.16602
无,0.00479 |  飞,0.07237 空,0.02407
人,0.15345 |  线,0.22038 畏,0.19162
驾,0.04752 |  飞,0.38013 机,0.12128
驶,0.99389 |  驶,0.99389 车,0.00201
飞,0.11763 |  飞,0.11763 机,0.07432
机,0.95518 |  机,0.95518 行,0.02345
—,0.00650 |  ，,0.35445 。,0.29235
—,0.79502 |  —,0.79502 “,0.02103
“,0.06715 |  “,0.06715 中,0.04423
北,0.03251 |  中,0.04710 南,0.03498
京,0.84745 |  京,0.84745 方,0.03387
五,0.00112 |  ”,0.15934 大,0.07829
号,0.39449 |  号,0.39449 四,0.02900
”,0.74020 |  ”,0.74020 机,0.03192
，,0.12391 |  。,0.18385 ，,0.12391
即,0.00471 |  并,0.06767 1,0.04111
在,0.01350 |  “,0.13417 使,0.04318
安,0.00268 |  1,0.17076 2,0.06033
2,0.00000 |  徽,0.65407 全,0.06828
型,0.00029 |  1,0.22994 2,0.20464
飞,0.05721 |  的,0.06201 机,0.05765
机,0.90501 |  机,0.90501 行,0.07646
上,0.05911 |  的,0.06492 上,0.05911
安,0.00268 |  。,0.08556 ，,0.08242
装,0.79083 |  装,0.79083 全,0.12206
了,0.39978 |  了,0.39978 一,0.04236
自,0.00335 |  一,0.10296 “,0.05215
行,0.06041 |  动,0.31091 己,0.16764
研,0.02978 |  飞,0.05317 的,0.05286
制,0.44595 |  制,0.44595 发,0.30916
的,0.25264 |  的,0.25264 。,0.12466
无,0.00134 |  “,0.05315 飞,0.04658
人,0.09497 |  线,0.37664 人,0.09497
驾,0.08458 |  飞,0.24873 机,0.14399
驶,0.99069 |  驶,0.99069 车,0.00485
控,0.00209 |  舱,0.20070 机,0.12127
制,0.99367 |  制,0.99367 告,0.00149
系,0.19897 |  系,0.19897 机,0.16296
统,0.99679 |  统,0.99679 列,0.00193
，,0.31356 |  。,0.45914 ，,0.31356
将,0.00961 |  并,0.08800 这,0.02618
该,0.01712 |  其,0.05370 飞,0.04574
机,0.38161 |  机,0.38161 飞,0.05893
改,0.01766 |  的,0.06899 组,0.03041
装,0.25761 |  装,0.25761 为,0.23790
成,0.41708 |  成,0.41708 为,0.36140
无,0.00344 |  了,0.08162 一,0.05689
人,0.11932 |  线,0.21885 人,0.11932
驾,0.20878 |  驾,0.20878 飞,0.18801
驶,0.99367 |  驶,0.99367 车,0.00266
飞,0.04203 |  舱,0.23174 机,0.09144
机,0.95244 |  机,0.95244 行,0.03072
，,0.26862 |  。,0.47514 ，,0.26862
于,0.01292 |  并,0.09388 这,0.02627
同,0.00727 |  1,0.42151 2,0.22389
年,0.83244 |  年,0.83244 时,0.07300
9,0.11948 |  1,0.20637 9,0.11948
月,0.99995 |  月,0.99995 2,0.00001
2,0.23337 |  2,0.23337 1,0.16756
5,0.09980 |  4,0.11335 0,0.11320
日,0.99764 |  日,0.99764 号,0.00110
试,0.02179 |  在,0.07483 完,0.07221
飞,0.82356 |  飞,0.82356 验,0.06943
成,0.00792 |  。,0.55385 ，,0.16344
功,0.73150 |  功,0.73150 为,0.16882
，,0.14510 |  。,0.66367 ，,0.14510
为,0.00784 |  并,0.07043 在,0.03417
中,0.02708 |  了,0.08998 1,0.03637
国,0.90697 |  国,0.90697 华,0.04201
无,0.00135 |  人,0.10805 第,0.07197
人,0.06688 |  线,0.29565 畏,0.21843
驾,0.20364 |  驾,0.20364 飞,0.19541
驶,0.99454 |  驶,0.99454 驭,0.00411
飞,0.07336 |  的,0.11443 飞,0.07336
机,0.94389 |  机,0.94389 行,0.04078
的,0.10916 |  。,0.14272 的,0.10916
发,0.01869 |  飞,0.05139 第,0.04512
展,0.08661 |  动,0.55655 射,0.22247
开,0.00401 |  。,0.22281 ，,0.08206
了,0.00065 |  发,0.73344 始,0.15338
先,0.00127 |  一,0.13632 。,0.05032
河,0.00159 |  进,0.21352 后,0.16046
。,0.30853 |  。,0.30853 ，,0.15098
 ,0.00733 |  
,0.35630 1,0.10531
